database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
CHEBI:17822	C3H7NO3	NC(CO)C(O)=O	"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)"	Serine																
CHEBI:26986	C4H9NO3	CC(O)C(N)C(O)=O	"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)"	Threonine																
CHEBI:27897	C11H12N2O2	NC(Cc1c[nH]c2ccccc12)C(O)=O	"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)"	Tryptophan																
CHEBI:18186	C9H11NO3	NC(Cc1ccc(O)cc1)C(O)=O	"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)"	Tyrosine																
CHEBI:27266	C5H11NO2	CC(C)C(N)C(O)=O	"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)"	Valine																
CHEBI:86496	C7H14N2O3	OC(=O)[C@H](CCCN[*])N[*]		Acetylornithine																
CHEBI:17929	C8H18N4O2	CN(C)C(=N)NCCC[C@H](N)C(O)=O	"InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1"	Asymmetric dimethylarginine																
CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	"InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)"	alpha-Aminoadipic acid																
CHEBI:15727	C9H14N4O3	NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O	"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1"	Carnosine																
CHEBI:28397	C5H9NO3	O[C@@H]1CN[C@@H](C1)C(O)=O	"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4-/m0/s1"	cis-4-Hydroxyproline																
CHEBI:16737	C4H7N3O	CN1CC(=O)NC1=N	"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)"	Creatinine																
CHEBI:49168	C9H11NO4	NC(Cc1ccc(O)c(O)c1)C(O)=O	"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)"	Dihydroxyphenylalanine																
CHEBI:18243	C8H11NO2	NCCc1ccc(O)c(O)c1	"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2"	Dopamine																
CHEBI:18295	C5H9N3	NCCc1c[nH]cn1	"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)"	Histamine																
CHEBI:28683	C10H12N2O3	NC(CC(=O)c1ccccc1N)C(O)=O	"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)"	Kynurenine																
CHEBI:49033	C5H11NO3S	CS(=O)CCC(N)C(O)=O	"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"	Methionine sulfoxide																
CHEBI:86267	C9H10N2O5			Nitrotyrosine																
CHEBI:50048	C8H11N			Phenylethylamine																
CHEBI:17148	C4H12N2	NCCCCN	InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2	Putrescine																
CHEBI:15611	C3H7NO2	CNCC(O)=O	"InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)"	Sarcosine																
CHEBI:25682	C8H18N4O2	CN\C(NCCC[C@H](N)C(O)=O)=N\C	"InChI=1S/C8H18N4O2/c1-10-8(11-2)12-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H,13,14)(H2,10,11,12)/t6-/m0/s1"	Symmetric dimethylarginine																
CHEBI:28790	C10H12N2O	C1=CC(=CC=2C(=CNC12)CCN)O	"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2"	Serotonin																
CHEBI:16610	C7H19N3	NCCCCNCCCN	"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2"	Spermidine																
CHEBI:15746	C10H26N4	NCCCNCCCCNCCCN	"InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2"	Spermine																
CHEBI:15891	C2H7NO3S	C(CS(O)(=O)=O)N	"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)"	Taurine																
CHEBI:20392	C5H9NO3	OC1CNC(C1)C(O)=O	"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)"	trans-4-Hydroxyproline																
CHEBI:17126	C7H15NO3	C[N+](C)(C)CC(O)CC([O-])=O	"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3"	Carnitine																
CHEBI:73024	C9H17NO4	CC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3"	Acetylcarnitine																
CHEBI:28867	C10H19NO4	CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3"	Propionylcarnitine																
CHEBI:86073	C10H17NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Propenoylcarnitine																
CHEBI:86072	C10H19NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxypropionylcarnitine																
CHEBI:7676	C11H21NO4	CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3"	Butyrylcarnitine																
CHEBI:88785	C11H19NO4	[C@@H](CC([O-])=O)(OC(\C=C\C)=O)C[N+](C)(C)C	"InChI=1S/C11H19NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h5-6,9H,7-8H2,1-4H3/b6-5+/t9-/m0/s1"	Butenylcarnitine																
CHEBI:73028	C10H17NO6	C[N+](C)(C)CC(CC([O-])=O)OC(=O)CC(O)=O	"InChI=1S/C10H17NO6/c1-11(2,3)6-7(4-8(12)13)17-10(16)5-9(14)15/h7H,4-6H2,1-3H3,(H-,12,13,14,15)"	Malonylcarnitine																
CHEBI:72995	C11H21NO5	CC(O)CC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C11H21NO5/c1-8(13)5-11(16)17-9(6-10(14)15)7-12(2,3)4/h8-9,13H,5-7H2,1-4H3"	Hydroxybutyrylcarnitine																
CHEBI:86050	C12H23NO4	CCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C12H23NO4/c1-5-6-7-12(16)17-10(8-11(14)15)9-13(2,3)4/h10H,5-9H2,1-4H3"	Valerylcarnitine																
CHEBI:71179	C12H21NO4	C\C=C(/C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C12H21NO4/c1-6-9(2)12(16)17-10(7-11(14)15)8-13(3,4)5/h6,10H,7-8H2,1-5H3/b9-6+"	Tiglylcarnitine																
CHEBI:86081	C12H19NO6	C[N+](C)(C)CC(CC([O-])=O)OC(=O)\C=C\CC(O)=O	"InChI=1S/C12H19NO6/c1-13(2,3)8-9(7-11(16)17)19-12(18)6-4-5-10(14)15/h4,6,9H,5,7-8H2,1-3H3,(H-,14,15,16,17)/b6-4+"	Glutaconylcarnitine																
CHEBI:74303	C14H27NO4	CCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C14H27NO4/c1-5-6-7-8-9-14(18)19-12(10-13(16)17)11-15(2,3)4/h12H,5-11H2,1-4H3"	Heptanoylcarnitine																
CHEBI:73040	C12H21NO6	C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCCC(O)=O	"InChI=1S/C12H21NO6/c1-13(2,3)8-9(7-11(16)17)19-12(18)6-4-5-10(14)15/h9H,4-8H2,1-3H3,(H-,14,15,16,17)"	Glutarylcarnitine																
CHEBI:88772	C13H25NO5	[C@@H](CC([O-])=O)(OC(CC(CCC)O)=O)C[N+](C)(C)C	"InChI=1S/C13H25NO5/c1-5-6-10(15)7-13(18)19-11(8-12(16)17)9-14(2,3)4/h10-11,15H,5-9H2,1-4H3/t10?,11-/m0/s1"	Hydroxyhexanoylcarnitine																
CHEBI:68568	C13H23NO6	C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCCCC(O)=O	"InChI=1S/C13H23NO6/c1-14(2,3)9-10(8-12(17)18)20-13(19)7-5-4-6-11(15)16/h10H,4-9H2,1-3H3,(H-,15,16,17,18)"	Adipoylcarnitine																
CHEBI:86467	C12H23NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyvalerylcarnitine																
CHEBI:73031	C11H19NO6	C(C(CC([O-])=O)OC(C(C(=O)O)C)=O)[N+](C)(C)C	"InChI=1S/C11H19NO6/c1-7(10(15)16)11(17)18-8(5-9(13)14)6-12(2,3)4/h7-8H,5-6H2,1-4H3,(H-,13,14,15,16)"	Methylmalonylcarnitine																
CHEBI:70749	C13H25NO4	C(OC(CCCCC)=O)(C[N+](C)(C)C)CC(=O)[O-]	"InChI=1S/C13H25NO4/c1-5-6-7-8-13(17)18-11(9-12(15)16)10-14(2,3)4/h11H,5-10H2,1-4H3"	Hexanoylcarnitine																
CHEBI:87264	C11H17NO6	C[N+](C)(C)CC(CC([O-])=O)OC(=O)\C=C\C(O)=O	"InChI=1S/C11H17NO6/c1-12(2,3)7-8(6-10(15)16)18-11(17)5-4-9(13)14/h4-5,8H,6-7H2,1-3H3,(H-,13,14,15,16)/b5-4+"	Fumarylcarnitine																
CHEBI:86082	C13H23NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hexenoylcarnitine																
CHEBI:73049	C14H25NO6	C[N+](C)(C)C(CCC([O-])=O)OC(=O)CCCCCC(O)=O	"InChI=1S/C14H25NO6/c1-15(2,3)11(9-10-13(18)19)21-14(20)8-6-4-5-7-12(16)17/h11H,4-10H2,1-3H3,(H-,16,17,18,19)"	Pimeloylcarnitine																
CHEBI:73039	C15H29NO4	CCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3"	Octanoylcarnitine																
CHEBI:86052	C15H27NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Octenoylcarnitine																
CHEBI:70997	C16H31NO4	CCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C16H31NO4/c1-5-6-7-8-9-10-11-16(20)21-14(12-15(18)19)13-17(2,3)4/h14H,5-13H2,1-4H3"	Nonanoylcarnitine																
CHEBI:137640	C15H27NO5	C(C(CC([O-])=O)OC(=O)*)[N+](C)(C)C		Hydroxyoctenoylcarnitine																
CHEBI:68830	C17H33NO4	O(C(C[N+](C)(C)C)CC([O-])=O)C(CCCCCCCCC)=O	"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3"	Decanoylcarnitine																
CHEBI:86063	C17H31NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Decenoylcarnitine																
CHEBI:86064	C17H29NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Decadienoylcarnitine																
CHEBI:137642	C17H27NO4	C(C(CC([O-])=O)OC(=O)*)[N+](C)(C)C		Decatrienoylcarnitine																
CHEBI:137644	C18H35NO4	C(C(CC([O-])=O)OC(=O)*)[N+](C)(C)C		Dimethylnonanoylcarnitine																
CHEBI:73054	C19H37NO4	CCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3"	Dodecanoylcarnitine																
CHEBI:86065	C19H35NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Dodecenoylcarnitine																
CHEBI:74121	C19H35NO6	C[N+](C)(C)C(CCC([O-])=O)OC(=O)CCCCCCCCCCC(O)=O	"InChI=1S/C19H35NO6/c1-20(2,3)16(14-15-18(23)24)26-19(25)13-11-9-7-5-4-6-8-10-12-17(21)22/h16H,4-15H2,1-3H3,(H-,21,22,23,24)"	Dodecanedioylcarnitine																
CHEBI:137646	C20H39NO4	C(C(CC([O-])=O)OC(=O)*)[N+](C)(C)C		Tridecanoylcarnitine																
CHEBI:73061	C21H41NO4	CCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3"	Tetradecanoylcarnitine																
CHEBI:137647	C21H41NO5	C(C(CC([O-])=O)OC(=O)*)[N+](C)(C)C		Hydroxymyristoylcarnitine																
CHEBI:86066	C21H39NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Tetradecenoylcarnitine																
CHEBI:86067	C21H39NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxytetradecenoylcarnitine																
CHEBI:131886	C22H43NO4	C(OC(CCCCCCCCCCCCCC)=O)(C[N+](C)(C)C)CC(=O)[O-]	"InChI=1S/C22H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-22(26)27-20(18-21(24)25)19-23(2,3)4/h20H,5-19H2,1-4H3"	Pentadecanoylcarnitine																
CHEBI:86069	C21H37NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Tetradecadienoylcarnitine																
CHEBI:86070	C21H37NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxytetradecadienoylcarnitine																
CHEBI:73067	C23H45NO4	CCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3"	Hexadecanoylcarnitine																
CHEBI:137649	C21H37NO6	C(C(CC([O-])=O)OC(=O)*)[N+](C)(C)C		Carboxytridecenoylcarnitine																
CHEBI:86030	C23H45NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyhexadecanoylcarnitine																
CHEBI:86032	C23H43NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hexadecenoylcarnitine																
CHEBI:86033	C23H43NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyhexadecenoylcarnitine																
CHEBI:131887	C24H47NO4	C(OC(CCCCCCCCCCCCCCCC)=O)(C[N+](C)(C)C)CC(=O)[O-]	"InChI=1S/C24H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-24(28)29-22(20-23(26)27)21-25(2,3)4/h22H,5-21H2,1-4H3"	Heptadecanoylcarnitine																
CHEBI:86035	C23H41NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hexadecadienoylcarnitine																
CHEBI:86036	C23H41NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyhexadecadienoylcarnitine																
CHEBI:73074	C25H49NO4	CCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3"	Octadecanoylcarnitine																
CHEBI:86475	C25H47NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Octadecenoylcarnitine																
CHEBI:86039	C25H47NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyoctadecenoylcarnitine																
CHEBI:137651	C27H53NO4	C(CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)CCCCCCCCCCC	"InChI=1S/C27H53NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h25H,5-24H2,1-4H3"	Nonadecanoylcarnitine																
CHEBI:86480	C25H45NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Octadecadienylcarnitine																
CHEBI:18133	C6H12O6			Hexoses (including glucose)																
CHEBI:85687	C35H66O5	[*]OCC(CO[*])O[*]		DG(32:1)																
CHEBI:85686	C35H64O5	[*]OCC(CO[*])O[*]		DG(32:2)																
CHEBI:85694	C37H70O5	[*]OCC(CO[*])O[*]		DG(34:1)																
CHEBI:85692	C37H66O5	[*]OCC(CO[*])O[*]		DG(34:3)																
CHEBI:85701	C36H64O5	[*]OCC(CO[*])O[*]		DG(36:2)																
CHEBI:85700	C39H70O5	[*]OCC(CO[*])O[*]		DG(36:3)																
CHEBI:85699	C39H68O5	[*]OCC(CO[*])O[*]		DG(36:4)																
CHEBI:87232	C41H80O5	[*]OCC(CO[*])O[*]		DG(38:0)																
CHEBI:85704	C41H70O5	[*]OCC(CO[*])O[*]		DG(38:5)																
CHEBI:137575	C42H82O5	C(O*)C(O*)CO*		DG(39:0)																
CHEBI:132490	C44H84O5	[*]OCC(CO[*])O[*]		DG(41:1)																
CHEBI:137576	C45H88O5	C(O*)C(O*)CO*		DG(42:0)																
CHEBI:137577	C45H86O5	C(O*)C(O*)CO*		DG(42:1)																
CHEBI:137578	C45H84O5	C(O*)C(O*)CO*		DG(42:2)																
CHEBI:137579	C47H86O5	C(O*)C(O*)CO*		DG(44:3)																
CHEBI:137587	C35H66O4	C(O*)C(O*)CO*		DG-O(32:2)																
CHEBI:137588	C37H72O4	C(O*)C(O*)CO*		DG-O(34:1)																
CHEBI:137589	C39H70O4	C(O*)C(O*)CO*		DG-O(36:4)																
CHEBI:90297	C47H88O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(44:1)																
CHEBI:90298	C47H86O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(44:2)																
CHEBI:85815	C47H82O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(44:4)																
CHEBI:77447	C49H90O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(46:2)																
CHEBI:85726	C51H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(48:1)																
CHEBI:85725	C51H94O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(48:2)																
CHEBI:85871	C51H92O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(48:3)																
CHEBI:85728	C52H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(49:1)																
CHEBI:85727	C52H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(49:2)																
CHEBI:84665	C53H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(50:1)																
CHEBI:84662	C53H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(50:2)																
CHEBI:85729	C53H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(50:3)																
CHEBI:85832	C53H94O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(50:4)																
CHEBI:85733	C54H102O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(51:1)																
CHEBI:85732	C54H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(51:2)																
CHEBI:85731	C54H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(51:3)																
CHEBI:85834	C54H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(51:4)																
CHEBI:137653	C54H94O6	C(C(OC(*)=O)COC(=O)*)OC(=O)*		TG(51:5)																
CHEBI:85736	C55H102O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(52:2)																
CHEBI:84661	C55H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(52:3)																
CHEBI:84660	C55H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(52:4)																
CHEBI:85734	C55H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(52:5)																
CHEBI:85875	C55H94O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(52:6)																
CHEBI:136390	C55H92O6	C(C(OC(*)=O)COC(=O)*)OC(=O)*		TG(52:7)																
CHEBI:85738	C56H102O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(53:3)																
CHEBI:85737	C56H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(53:4)																
CHEBI:137655	C56H98O6	C(C(OC(*)=O)COC(=O)*)OC(=O)*		TG(53:5)																
CHEBI:136391	C56H96O6	C(C(OC(*)=O)COC(=O)*)OC(=O)*		TG(53:6)																
CHEBI:85743	C57H106O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(54:2)																
CHEBI:84659	C57H104O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(54:3)																
CHEBI:85742	C57H102O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(54:4)																
CHEBI:85741	C57H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(54:5)																
CHEBI:85876	C57H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(54:6)																
CHEBI:85740	C57H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(54:7)																
CHEBI:85744	C58H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(55:6)																
CHEBI:85840	C58H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(55:7)																
CHEBI:85839	C58H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(55:8)																
CHEBI:137656	C58H94O6	C(C(OC(*)=O)COC(=O)*)OC(=O)*		TG(55:9)																
CHEBI:85750	C59H102O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(56:6)																
CHEBI:85749	C59H100O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(56:7)																
CHEBI:85748	C59H98O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(56:8)																
CHEBI:85747	C59H96O6	[*]C(=O)OCC(COC([*])=O)OC([*])=O		TG(56:9)																
CHEBI:137590	C20H42NO7P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		LPC(12:0)																
CHEBI:64483	C22H46NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(14:0)																
CHEBI:72736	C23H48NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(15:0)																
CHEBI:64563	C24H50NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(16:0)																
CHEBI:64560	C24H48NO7P	[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*]		LPC(16:1)																
CHEBI:137591	C25H52NO6P	[C@](CO*)(O*)([H])COP(OCC[N+](C)(C)C)(=O)[O-]		LPC-O(17:1)																
