Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	Labeled Extract Name	Label	Protocol REF	Date	Performer	Scan Name	Raw Data File
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943904	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_liverextract-22	nucleic acid library preparation	2017-07-05 14:57:38.943927	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#0_liverextract-22labeled-extract-22	none	nucleic acid sequencing	2017-07-05 14:57:38.943959	louis	assay-name-22_library-0_run-0	sequence-data-22_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.976175	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#1_kidneyextract-45	nucleic acid library preparation	2017-07-05 14:57:38.976187	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#2_sample#1_kidneyextract-45labeled-extract-45	none	nucleic acid sequencing	2017-07-05 14:57:38.976204	louis	assay-name-45_library-0_run-0	sequence-data-45_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.969068	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_kidneyextract-46	nucleic acid library preparation	2017-07-05 14:57:38.969089	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_kidneyextract-46labeled-extract-46	none	nucleic acid sequencing	2017-07-05 14:57:38.969122	louis	assay-name-46_library-0_run-0	sequence-data-46_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_liver	RNA extraction	2017-07-05 14:57:38.944006	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_liverextract-23	nucleic acid library preparation	2017-07-05 14:57:38.944021	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_liverextract-23labeled-extract-23	none	nucleic acid sequencing	2017-07-05 14:57:38.944073	louis	assay-name-23_library-0_run-1	sequence-data-23_library-0_run-1.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_liver	RNA extraction	2017-07-05 14:57:38.944006	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_liverextract-23	nucleic acid library preparation	2017-07-05 14:57:38.944021	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#0_liverextract-23labeled-extract-23	none	nucleic acid sequencing	2017-07-05 14:57:38.944049	louis	assay-name-23_library-0_run-0	sequence-data-23_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.976219	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#1_kidneyextract-47	nucleic acid library preparation	2017-07-05 14:57:38.976230	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#3_sample#1_kidneyextract-47labeled-extract-47	none	nucleic acid sequencing	2017-07-05 14:57:38.976247	louis	assay-name-47_library-0_run-0	sequence-data-47_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.969154	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_kidneyextract-48	nucleic acid library preparation	2017-07-05 14:57:38.969171	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_kidneyextract-48labeled-extract-48	none	nucleic acid sequencing	2017-07-05 14:57:38.969207	louis	assay-name-48_library-0_run-0	sequence-data-48_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_liver	RNA extraction	2017-07-05 14:57:38.944096	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_liverextract-24	nucleic acid library preparation	2017-07-05 14:57:38.944113	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_liverextract-24labeled-extract-24	none	nucleic acid sequencing	2017-07-05 14:57:38.944166	louis	assay-name-24_library-0_run-1	sequence-data-24_library-0_run-1.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_liver	RNA extraction	2017-07-05 14:57:38.944096	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_liverextract-24	nucleic acid library preparation	2017-07-05 14:57:38.944113	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#0_liverextract-24labeled-extract-24	none	nucleic acid sequencing	2017-07-05 14:57:38.944146	louis	assay-name-24_library-0_run-0	sequence-data-24_library-0_run-0.fastq.gz
studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.976262	amy	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#1_kidneyextract-49	nucleic acid library preparation	2017-07-05 14:57:38.976273	xua	studygroup_03dae58f-4657-48ef-abef-af723be0ae6a_subject#4_sample#1_kidneyextract-49labeled-extract-49	none	nucleic acid sequencing	2017-07-05 14:57:38.976290	louis	assay-name-49_library-0_run-0	sequence-data-49_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968184	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_kidneyextract-30	nucleic acid library preparation	2017-07-05 14:57:38.968199	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_kidneyextract-30labeled-extract-30	none	nucleic acid sequencing	2017-07-05 14:57:38.968229	louis	assay-name-30_library-0_run-0	sequence-data-30_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943041	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liverextract-15	nucleic acid library preparation	2017-07-05 14:57:38.943057	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liverextract-15labeled-extract-15	none	nucleic acid sequencing	2017-07-05 14:57:38.943089	louis	assay-name-15_library-0_run-0	sequence-data-15_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943041	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liverextract-15	nucleic acid library preparation	2017-07-05 14:57:38.943057	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liverextract-15labeled-extract-15	none	nucleic acid sequencing	2017-07-05 14:57:38.943110	louis	assay-name-15_library-0_run-1	sequence-data-15_library-0_run-1.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975780	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#1_kidneyextract-31	nucleic acid library preparation	2017-07-05 14:57:38.975789	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#1_kidneyextract-31labeled-extract-31	none	nucleic acid sequencing	2017-07-05 14:57:38.975806	louis	assay-name-31_library-0_run-0	sequence-data-31_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968258	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_kidneyextract-32	nucleic acid library preparation	2017-07-05 14:57:38.968273	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_kidneyextract-32labeled-extract-32	none	nucleic acid sequencing	2017-07-05 14:57:38.968417	louis	assay-name-32_library-0_run-0	sequence-data-32_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943132	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liverextract-16	nucleic acid library preparation	2017-07-05 14:57:38.943151	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liverextract-16labeled-extract-16	none	nucleic acid sequencing	2017-07-05 14:57:38.943183	louis	assay-name-16_library-0_run-0	sequence-data-16_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943132	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liverextract-16	nucleic acid library preparation	2017-07-05 14:57:38.943151	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liverextract-16labeled-extract-16	none	nucleic acid sequencing	2017-07-05 14:57:38.943203	louis	assay-name-16_library-0_run-1	sequence-data-16_library-0_run-1.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975823	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#1_kidneyextract-33	nucleic acid library preparation	2017-07-05 14:57:38.975832	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#1_kidneyextract-33labeled-extract-33	none	nucleic acid sequencing	2017-07-05 14:57:38.975851	louis	assay-name-33_library-0_run-0	sequence-data-33_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968453	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_kidneyextract-34	nucleic acid library preparation	2017-07-05 14:57:38.968469	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_kidneyextract-34labeled-extract-34	none	nucleic acid sequencing	2017-07-05 14:57:38.968496	louis	assay-name-34_library-0_run-0	sequence-data-34_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943229	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liverextract-17	nucleic acid library preparation	2017-07-05 14:57:38.943244	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liverextract-17labeled-extract-17	none	nucleic acid sequencing	2017-07-05 14:57:38.943405	louis	assay-name-17_library-0_run-1	sequence-data-17_library-0_run-1.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943229	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liverextract-17	nucleic acid library preparation	2017-07-05 14:57:38.943244	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liverextract-17labeled-extract-17	none	nucleic acid sequencing	2017-07-05 14:57:38.943273	louis	assay-name-17_library-0_run-0	sequence-data-17_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975870	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#1_kidneyextract-35	nucleic acid library preparation	2017-07-05 14:57:38.975878	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#1_kidneyextract-35labeled-extract-35	none	nucleic acid sequencing	2017-07-05 14:57:38.975895	louis	assay-name-35_library-0_run-0	sequence-data-35_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968525	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_kidneyextract-36	nucleic acid library preparation	2017-07-05 14:57:38.968550	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_kidneyextract-36labeled-extract-36	none	nucleic acid sequencing	2017-07-05 14:57:38.968629	louis	assay-name-36_library-0_run-0	sequence-data-36_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943432	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liverextract-18	nucleic acid library preparation	2017-07-05 14:57:38.943448	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liverextract-18labeled-extract-18	none	nucleic acid sequencing	2017-07-05 14:57:38.943503	louis	assay-name-18_library-0_run-1	sequence-data-18_library-0_run-1.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943432	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liverextract-18	nucleic acid library preparation	2017-07-05 14:57:38.943448	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liverextract-18labeled-extract-18	none	nucleic acid sequencing	2017-07-05 14:57:38.943482	louis	assay-name-18_library-0_run-0	sequence-data-18_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975910	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#1_kidneyextract-37	nucleic acid library preparation	2017-07-05 14:57:38.975919	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#1_kidneyextract-37labeled-extract-37	none	nucleic acid sequencing	2017-07-05 14:57:38.975940	louis	assay-name-37_library-0_run-0	sequence-data-37_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.968669	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_kidneyextract-38	nucleic acid library preparation	2017-07-05 14:57:38.968686	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_kidneyextract-38labeled-extract-38	none	nucleic acid sequencing	2017-07-05 14:57:38.968717	louis	assay-name-38_library-0_run-0	sequence-data-38_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943530	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liverextract-19	nucleic acid library preparation	2017-07-05 14:57:38.943545	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liverextract-19labeled-extract-19	none	nucleic acid sequencing	2017-07-05 14:57:38.943594	louis	assay-name-19_library-0_run-1	sequence-data-19_library-0_run-1.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liver	RNA extraction	2017-07-05 14:57:38.943530	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liverextract-19	nucleic acid library preparation	2017-07-05 14:57:38.943545	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liverextract-19labeled-extract-19	none	nucleic acid sequencing	2017-07-05 14:57:38.943574	louis	assay-name-19_library-0_run-0	sequence-data-19_library-0_run-0.fastq.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975955	amy	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#1_kidneyextract-39	nucleic acid library preparation	2017-07-05 14:57:38.976003	xua	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#1_kidneyextract-39labeled-extract-39	none	nucleic acid sequencing	2017-07-05 14:57:38.976021	louis	assay-name-39_library-0_run-0	sequence-data-39_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.964587	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_kidneyextract-10	nucleic acid library preparation	2017-07-05 14:57:38.967049	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_kidneyextract-10labeled-extract-10	none	nucleic acid sequencing	2017-07-05 14:57:38.967242	louis	assay-name-10_library-0_run-0	sequence-data-10_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liver	RNA extraction	2017-07-05 14:57:38.942444	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liverextract-5	nucleic acid library preparation	2017-07-05 14:57:38.942454	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liverextract-5labeled-extract-5	none	nucleic acid sequencing	2017-07-05 14:57:38.942481	louis	assay-name-5_library-0_run-1	sequence-data-5_library-0_run-1.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liver	RNA extraction	2017-07-05 14:57:38.942444	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liverextract-5	nucleic acid library preparation	2017-07-05 14:57:38.942454	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liverextract-5labeled-extract-5	none	nucleic acid sequencing	2017-07-05 14:57:38.942470	louis	assay-name-5_library-0_run-0	sequence-data-5_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975195	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#1_kidneyextract-11	nucleic acid library preparation	2017-07-05 14:57:38.975206	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#1_kidneyextract-11labeled-extract-11	none	nucleic acid sequencing	2017-07-05 14:57:38.975222	louis	assay-name-11_library-0_run-0	sequence-data-11_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.967340	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_kidneyextract-12	nucleic acid library preparation	2017-07-05 14:57:38.967364	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_kidneyextract-12labeled-extract-12	none	nucleic acid sequencing	2017-07-05 14:57:38.967424	louis	assay-name-12_library-0_run-0	sequence-data-12_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liver	RNA extraction	2017-07-05 14:57:38.942492	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liverextract-6	nucleic acid library preparation	2017-07-05 14:57:38.942500	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liverextract-6labeled-extract-6	none	nucleic acid sequencing	2017-07-05 14:57:38.942520	louis	assay-name-6_library-0_run-0	sequence-data-6_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liver	RNA extraction	2017-07-05 14:57:38.942492	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liverextract-6	nucleic acid library preparation	2017-07-05 14:57:38.942500	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liverextract-6labeled-extract-6	none	nucleic acid sequencing	2017-07-05 14:57:38.942533	louis	assay-name-6_library-0_run-1	sequence-data-6_library-0_run-1.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#1_kidney	RNA extraction	2017-07-05 14:57:38.975236	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#1_kidneyextract-13	nucleic acid library preparation	2017-07-05 14:57:38.975246	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#1_kidneyextract-13labeled-extract-13	none	nucleic acid sequencing	2017-07-05 14:57:38.975261	louis	assay-name-13_library-0_run-0	sequence-data-13_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_kidney	RNA extraction	2017-07-05 14:57:38.967489	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_kidneyextract-14	nucleic acid library preparation	2017-07-05 14:57:38.967514	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_kidneyextract-14labeled-extract-14	none	nucleic acid sequencing	2017-07-05 14:57:38.967571	louis	assay-name-14_library-0_run-0	sequence-data-14_library-0_run-0.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liver	RNA extraction	2017-07-05 14:57:38.942545	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liverextract-7	nucleic acid library preparation	2017-07-05 14:57:38.942553	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liverextract-7labeled-extract-7	none	nucleic acid sequencing	2017-07-05 14:57:38.942578	louis	assay-name-7_library-0_run-1	sequence-data-7_library-0_run-1.fastq.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liver	RNA extraction	2017-07-05 14:57:38.942545	amy	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liverextract-7	nucleic acid library preparation	2017-07-05 14:57:38.942553	xua	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liverextract-7labeled-extract-7	none	nucleic acid sequencing	2017-07-05 14:57:38.942567	louis	assay-name-7_library-0_run-0	sequence-data-7_library-0_run-0.fastq.gz
