Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[injection mode]	Parameter Value[mass spectrometry instrument]	Parameter Value[scan polarity]	Parameter Value[randomized run order]	Raw Spectral Data File
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.643252	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#0_liverextract-0	FIA-positive mass spectrometry	2017-06-07 14:15:07.643329	louis	assay-name-0_platform-FIA_run-0	FIA	Agilent QTOF	positive	24	acquired-data-0_platform-FIA_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.675817	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#1_liverextract-1	FIA-positive mass spectrometry	2017-06-07 14:15:07.675843	louis	assay-name-1_platform-FIA_run-0	FIA	Agilent QTOF	positive	38	acquired-data-1_platform-FIA_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.643607	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liverextract-2	FIA-positive mass spectrometry	2017-06-07 14:15:07.643634	louis	assay-name-2_platform-FIA_run-0	FIA	Agilent QTOF	positive	50	acquired-data-2_platform-FIA_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.643607	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liverextract-2	FIA-positive mass spectrometry	2017-06-07 14:15:07.643738	louis	assay-name-2_platform-FIA_run-1	FIA	Agilent QTOF	positive	85	acquired-data-2_platform-FIA_run-1.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.675906	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#1_liverextract-3	FIA-positive mass spectrometry	2017-06-07 14:15:07.675921	louis	assay-name-3_platform-FIA_run-0	FIA	Agilent QTOF	positive	31	acquired-data-3_platform-FIA_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.643856	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liverextract-4	FIA-positive mass spectrometry	2017-06-07 14:15:07.644010	louis	assay-name-4_platform-FIA_run-1	FIA	Agilent QTOF	positive	79	acquired-data-4_platform-FIA_run-1.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.643856	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liverextract-4	FIA-positive mass spectrometry	2017-06-07 14:15:07.643881	louis	assay-name-4_platform-FIA_run-0	FIA	Agilent QTOF	positive	58	acquired-data-4_platform-FIA_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.675971	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#1_liverextract-5	FIA-positive mass spectrometry	2017-06-07 14:15:07.675984	louis	assay-name-5_platform-FIA_run-0	FIA	Agilent QTOF	positive	42	acquired-data-5_platform-FIA_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644932	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liverextract-12	FIA-positive mass spectrometry	2017-06-07 14:15:07.645038	louis	assay-name-12_platform-FIA_run-1	FIA	Agilent QTOF	positive	70	acquired-data-12_platform-FIA_run-1.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644932	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liverextract-12	FIA-positive mass spectrometry	2017-06-07 14:15:07.644955	louis	assay-name-12_platform-FIA_run-0	FIA	Agilent QTOF	positive	21	acquired-data-12_platform-FIA_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676286	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#1_liverextract-13	FIA-positive mass spectrometry	2017-06-07 14:15:07.676301	louis	assay-name-13_platform-FIA_run-0	FIA	Agilent QTOF	positive	36	acquired-data-13_platform-FIA_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645137	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liverextract-14	FIA-positive mass spectrometry	2017-06-07 14:15:07.645286	louis	assay-name-14_platform-FIA_run-1	FIA	Agilent QTOF	positive	43	acquired-data-14_platform-FIA_run-1.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645137	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liverextract-14	FIA-positive mass spectrometry	2017-06-07 14:15:07.645162	louis	assay-name-14_platform-FIA_run-0	FIA	Agilent QTOF	positive	60	acquired-data-14_platform-FIA_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676347	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#1_liverextract-15	FIA-positive mass spectrometry	2017-06-07 14:15:07.676361	louis	assay-name-15_platform-FIA_run-0	FIA	Agilent QTOF	positive	4	acquired-data-15_platform-FIA_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645362	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liverextract-16	FIA-positive mass spectrometry	2017-06-07 14:15:07.645424	louis	assay-name-16_platform-FIA_run-1	FIA	Agilent QTOF	positive	38	acquired-data-16_platform-FIA_run-1.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645362	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liverextract-16	FIA-positive mass spectrometry	2017-06-07 14:15:07.645378	louis	assay-name-16_platform-FIA_run-0	FIA	Agilent QTOF	positive	77	acquired-data-16_platform-FIA_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676455	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#1_liverextract-17	FIA-positive mass spectrometry	2017-06-07 14:15:07.676470	louis	assay-name-17_platform-FIA_run-0	FIA	Agilent QTOF	positive	24	acquired-data-17_platform-FIA_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647041	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liverextract-36	FIA-positive mass spectrometry	2017-06-07 14:15:07.647186	louis	assay-name-36_platform-FIA_run-1	FIA	Agilent QTOF	positive	51	acquired-data-36_platform-FIA_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647041	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liverextract-36	FIA-positive mass spectrometry	2017-06-07 14:15:07.647078	louis	assay-name-36_platform-FIA_run-0	FIA	Agilent QTOF	positive	16	acquired-data-36_platform-FIA_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.677050	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#1_liverextract-37	FIA-positive mass spectrometry	2017-06-07 14:15:07.677095	louis	assay-name-37_platform-FIA_run-0	FIA	Agilent QTOF	positive	43	acquired-data-37_platform-FIA_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647283	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liverextract-38	FIA-positive mass spectrometry	2017-06-07 14:15:07.647317	louis	assay-name-38_platform-FIA_run-0	FIA	Agilent QTOF	positive	76	acquired-data-38_platform-FIA_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647283	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liverextract-38	FIA-positive mass spectrometry	2017-06-07 14:15:07.647397	louis	assay-name-38_platform-FIA_run-1	FIA	Agilent QTOF	positive	47	acquired-data-38_platform-FIA_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.677138	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#1_liverextract-39	FIA-positive mass spectrometry	2017-06-07 14:15:07.677150	louis	assay-name-39_platform-FIA_run-0	FIA	Agilent QTOF	positive	46	acquired-data-39_platform-FIA_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647470	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liverextract-40	FIA-positive mass spectrometry	2017-06-07 14:15:07.647559	louis	assay-name-40_platform-FIA_run-1	FIA	Agilent QTOF	positive	7	acquired-data-40_platform-FIA_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647470	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liverextract-40	FIA-positive mass spectrometry	2017-06-07 14:15:07.647490	louis	assay-name-40_platform-FIA_run-0	FIA	Agilent QTOF	positive	35	acquired-data-40_platform-FIA_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.677221	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#1_liverextract-41	FIA-positive mass spectrometry	2017-06-07 14:15:07.677246	louis	assay-name-41_platform-FIA_run-0	FIA	Agilent QTOF	positive	21	acquired-data-41_platform-FIA_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645471	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liverextract-18	FIA-positive mass spectrometry	2017-06-07 14:15:07.645547	louis	assay-name-18_platform-FIA_run-1	FIA	Agilent QTOF	positive	91	acquired-data-18_platform-FIA_run-1.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645471	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liverextract-18	FIA-positive mass spectrometry	2017-06-07 14:15:07.645484	louis	assay-name-18_platform-FIA_run-0	FIA	Agilent QTOF	positive	82	acquired-data-18_platform-FIA_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676519	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#1_liverextract-19	FIA-positive mass spectrometry	2017-06-07 14:15:07.676532	louis	assay-name-19_platform-FIA_run-0	FIA	Agilent QTOF	positive	18	acquired-data-19_platform-FIA_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645666	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liverextract-20	FIA-positive mass spectrometry	2017-06-07 14:15:07.645758	louis	assay-name-20_platform-FIA_run-1	FIA	Agilent QTOF	positive	14	acquired-data-20_platform-FIA_run-1.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645666	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liverextract-20	FIA-positive mass spectrometry	2017-06-07 14:15:07.645681	louis	assay-name-20_platform-FIA_run-0	FIA	Agilent QTOF	positive	6	acquired-data-20_platform-FIA_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676579	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#1_liverextract-21	FIA-positive mass spectrometry	2017-06-07 14:15:07.676595	louis	assay-name-21_platform-FIA_run-0	FIA	Agilent QTOF	positive	45	acquired-data-21_platform-FIA_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645877	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liverextract-22	FIA-positive mass spectrometry	2017-06-07 14:15:07.645897	louis	assay-name-22_platform-FIA_run-0	FIA	Agilent QTOF	positive	59	acquired-data-22_platform-FIA_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.645877	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liverextract-22	FIA-positive mass spectrometry	2017-06-07 14:15:07.645971	louis	assay-name-22_platform-FIA_run-1	FIA	Agilent QTOF	positive	83	acquired-data-22_platform-FIA_run-1.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676643	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#1_liverextract-23	FIA-positive mass spectrometry	2017-06-07 14:15:07.676657	louis	assay-name-23_platform-FIA_run-0	FIA	Agilent QTOF	positive	5	acquired-data-23_platform-FIA_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644101	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liverextract-6	FIA-positive mass spectrometry	2017-06-07 14:15:07.644132	louis	assay-name-6_platform-FIA_run-0	FIA	Agilent QTOF	positive	22	acquired-data-6_platform-FIA_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644101	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liverextract-6	FIA-positive mass spectrometry	2017-06-07 14:15:07.644241	louis	assay-name-6_platform-FIA_run-1	FIA	Agilent QTOF	positive	5	acquired-data-6_platform-FIA_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676031	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#1_liverextract-7	FIA-positive mass spectrometry	2017-06-07 14:15:07.676048	louis	assay-name-7_platform-FIA_run-0	FIA	Agilent QTOF	positive	3	acquired-data-7_platform-FIA_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644335	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liverextract-8	FIA-positive mass spectrometry	2017-06-07 14:15:07.644475	louis	assay-name-8_platform-FIA_run-0	FIA	Agilent QTOF	positive	30	acquired-data-8_platform-FIA_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644335	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liverextract-8	FIA-positive mass spectrometry	2017-06-07 14:15:07.644582	louis	assay-name-8_platform-FIA_run-1	FIA	Agilent QTOF	positive	78	acquired-data-8_platform-FIA_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676096	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#1_liverextract-9	FIA-positive mass spectrometry	2017-06-07 14:15:07.676111	louis	assay-name-9_platform-FIA_run-0	FIA	Agilent QTOF	positive	35	acquired-data-9_platform-FIA_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644683	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liverextract-10	FIA-positive mass spectrometry	2017-06-07 14:15:07.644730	louis	assay-name-10_platform-FIA_run-0	FIA	Agilent QTOF	positive	11	acquired-data-10_platform-FIA_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.644683	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liverextract-10	FIA-positive mass spectrometry	2017-06-07 14:15:07.644811	louis	assay-name-10_platform-FIA_run-1	FIA	Agilent QTOF	positive	46	acquired-data-10_platform-FIA_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.676215	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#1_liverextract-11	FIA-positive mass spectrometry	2017-06-07 14:15:07.676233	louis	assay-name-11_platform-FIA_run-0	FIA	Agilent QTOF	positive	34	acquired-data-11_platform-FIA_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647634	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liverextract-42	FIA-positive mass spectrometry	2017-06-07 14:15:07.647814	louis	assay-name-42_platform-FIA_run-1	FIA	Agilent QTOF	positive	88	acquired-data-42_platform-FIA_run-1.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647634	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liverextract-42	FIA-positive mass spectrometry	2017-06-07 14:15:07.647652	louis	assay-name-42_platform-FIA_run-0	FIA	Agilent QTOF	positive	31	acquired-data-42_platform-FIA_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.677319	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#1_liverextract-43	FIA-positive mass spectrometry	2017-06-07 14:15:07.677348	louis	assay-name-43_platform-FIA_run-0	FIA	Agilent QTOF	positive	47	acquired-data-43_platform-FIA_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647897	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liverextract-44	FIA-positive mass spectrometry	2017-06-07 14:15:07.647935	louis	assay-name-44_platform-FIA_run-0	FIA	Agilent QTOF	positive	75	acquired-data-44_platform-FIA_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.647897	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liverextract-44	FIA-positive mass spectrometry	2017-06-07 14:15:07.648023	louis	assay-name-44_platform-FIA_run-1	FIA	Agilent QTOF	positive	57	acquired-data-44_platform-FIA_run-1.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#1_liver	metabolite extraction	2017-06-07 14:15:07.677400	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#1_liverextract-45	FIA-positive mass spectrometry	2017-06-07 14:15:07.677414	louis	assay-name-45_platform-FIA_run-0	FIA	Agilent QTOF	positive	48	acquired-data-45_platform-FIA_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.648142	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liverextract-46	FIA-positive mass spectrometry	2017-06-07 14:15:07.648284	louis	assay-name-46_platform-FIA_run-1	FIA	Agilent QTOF	positive	34	acquired-data-46_platform-FIA_run-1.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.648142	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liverextract-46	FIA-positive mass spectrometry	2017-06-07 14:15:07.648180	louis	assay-name-46_platform-FIA_run-0	FIA	Agilent QTOF	positive	17	acquired-data-46_platform-FIA_run-0.mzml.gz
