Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Parameter Value[injection mode]	Parameter Value[mass spectrometry instrument]	Parameter Value[scan polarity]	Parameter Value[randomized run order]	Raw Spectral Data File
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.660671	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liverextract-4	LC-negative mass spectrometry	2017-06-07 14:15:07.660820	louis	assay-name-4_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	20	acquired-data-4_platform-LC_run-1.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.660671	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liverextract-4	LC-negative mass spectrometry	2017-06-07 14:15:07.660696	louis	assay-name-4_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	77	acquired-data-4_platform-LC_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661865	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liverextract-12	LC-negative mass spectrometry	2017-06-07 14:15:07.661993	louis	assay-name-12_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	95	acquired-data-12_platform-LC_run-1.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661865	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#0_sample#0_liverextract-12	LC-negative mass spectrometry	2017-06-07 14:15:07.661886	louis	assay-name-12_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	58	acquired-data-12_platform-LC_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.662209	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liverextract-14	LC-negative mass spectrometry	2017-06-07 14:15:07.662460	louis	assay-name-14_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	62	acquired-data-14_platform-LC_run-1.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.662209	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#1_sample#0_liverextract-14	LC-negative mass spectrometry	2017-06-07 14:15:07.662256	louis	assay-name-14_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	66	acquired-data-14_platform-LC_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.662901	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liverextract-16	LC-negative mass spectrometry	2017-06-07 14:15:07.662942	louis	assay-name-16_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	41	acquired-data-16_platform-LC_run-0.mzml.gz
studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.662901	rick	studygroup_863ad0b9-42ab-41b5-aa19-cd859fc8da4f_subject#2_sample#0_liverextract-16	LC-negative mass spectrometry	2017-06-07 14:15:07.663236	louis	assay-name-16_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	87	acquired-data-16_platform-LC_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.668161	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liverextract-36	LC-negative mass spectrometry	2017-06-07 14:15:07.668225	louis	assay-name-36_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	19	acquired-data-36_platform-LC_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.668161	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#0_sample#0_liverextract-36	LC-negative mass spectrometry	2017-06-07 14:15:07.668409	louis	assay-name-36_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	9	acquired-data-36_platform-LC_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.668710	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liverextract-38	LC-negative mass spectrometry	2017-06-07 14:15:07.668759	louis	assay-name-38_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	76	acquired-data-38_platform-LC_run-0.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.668710	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#1_sample#0_liverextract-38	LC-negative mass spectrometry	2017-06-07 14:15:07.669027	louis	assay-name-38_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	24	acquired-data-38_platform-LC_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.669216	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liverextract-40	LC-negative mass spectrometry	2017-06-07 14:15:07.669374	louis	assay-name-40_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	93	acquired-data-40_platform-LC_run-1.mzml.gz
studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.669216	rick	studygroup_8a33779e-19a9-4839-bc86-97fbe0c6f646_subject#2_sample#0_liverextract-40	LC-negative mass spectrometry	2017-06-07 14:15:07.669244	louis	assay-name-40_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	2	acquired-data-40_platform-LC_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.663579	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liverextract-18	LC-negative mass spectrometry	2017-06-07 14:15:07.663683	louis	assay-name-18_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	54	acquired-data-18_platform-LC_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.663579	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#0_sample#0_liverextract-18	LC-negative mass spectrometry	2017-06-07 14:15:07.663960	louis	assay-name-18_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	23	acquired-data-18_platform-LC_run-1.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.664200	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liverextract-20	LC-negative mass spectrometry	2017-06-07 14:15:07.664243	louis	assay-name-20_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	61	acquired-data-20_platform-LC_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.664200	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#1_sample#0_liverextract-20	LC-negative mass spectrometry	2017-06-07 14:15:07.664601	louis	assay-name-20_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	68	acquired-data-20_platform-LC_run-1.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.664841	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liverextract-22	LC-negative mass spectrometry	2017-06-07 14:15:07.664922	louis	assay-name-22_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	88	acquired-data-22_platform-LC_run-0.mzml.gz
studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.664841	rick	studygroup_9e9e4a4c-9c5b-4550-8284-c65bbbb27b6a_subject#2_sample#0_liverextract-22	LC-negative mass spectrometry	2017-06-07 14:15:07.665179	louis	assay-name-22_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	79	acquired-data-22_platform-LC_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661020	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liverextract-6	LC-negative mass spectrometry	2017-06-07 14:15:07.661057	louis	assay-name-6_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	10	acquired-data-6_platform-LC_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661020	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#0_sample#0_liverextract-6	LC-negative mass spectrometry	2017-06-07 14:15:07.661181	louis	assay-name-6_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	44	acquired-data-6_platform-LC_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661315	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liverextract-8	LC-negative mass spectrometry	2017-06-07 14:15:07.661474	louis	assay-name-8_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	75	acquired-data-8_platform-LC_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661315	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#1_sample#0_liverextract-8	LC-negative mass spectrometry	2017-06-07 14:15:07.661343	louis	assay-name-8_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	18	acquired-data-8_platform-LC_run-0.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661607	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liverextract-10	LC-negative mass spectrometry	2017-06-07 14:15:07.661755	louis	assay-name-10_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	12	acquired-data-10_platform-LC_run-1.mzml.gz
studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.661607	rick	studygroup_b74c861d-bd97-40b5-8f97-068e53c7e5d3_subject#2_sample#0_liverextract-10	LC-negative mass spectrometry	2017-06-07 14:15:07.661633	louis	assay-name-10_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	51	acquired-data-10_platform-LC_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.669504	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liverextract-42	LC-negative mass spectrometry	2017-06-07 14:15:07.669654	louis	assay-name-42_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	74	acquired-data-42_platform-LC_run-1.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.669504	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#0_sample#0_liverextract-42	LC-negative mass spectrometry	2017-06-07 14:15:07.669537	louis	assay-name-42_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	60	acquired-data-42_platform-LC_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.669843	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liverextract-44	LC-negative mass spectrometry	2017-06-07 14:15:07.669994	louis	assay-name-44_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	22	acquired-data-44_platform-LC_run-1.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.669843	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#1_sample#0_liverextract-44	LC-negative mass spectrometry	2017-06-07 14:15:07.669872	louis	assay-name-44_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	69	acquired-data-44_platform-LC_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.670155	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liverextract-46	LC-negative mass spectrometry	2017-06-07 14:15:07.670184	louis	assay-name-46_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	52	acquired-data-46_platform-LC_run-0.mzml.gz
studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.670155	rick	studygroup_cfd67551-861f-4a03-89ff-3468f860a188_subject#2_sample#0_liverextract-46	LC-negative mass spectrometry	2017-06-07 14:15:07.670309	louis	assay-name-46_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	92	acquired-data-46_platform-LC_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.666716	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liverextract-30	LC-negative mass spectrometry	2017-06-07 14:15:07.666913	louis	assay-name-30_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	78	acquired-data-30_platform-LC_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.666716	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#0_sample#0_liverextract-30	LC-negative mass spectrometry	2017-06-07 14:15:07.666767	louis	assay-name-30_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	35	acquired-data-30_platform-LC_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.667109	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liverextract-32	LC-negative mass spectrometry	2017-06-07 14:15:07.667143	louis	assay-name-32_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	45	acquired-data-32_platform-LC_run-0.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.667109	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#1_sample#0_liverextract-32	LC-negative mass spectrometry	2017-06-07 14:15:07.667297	louis	assay-name-32_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	37	acquired-data-32_platform-LC_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.667647	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liverextract-34	LC-negative mass spectrometry	2017-06-07 14:15:07.667862	louis	assay-name-34_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	5	acquired-data-34_platform-LC_run-1.mzml.gz
studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.667647	rick	studygroup_ead3df8d-ab1d-43f0-bd5c-cb7bef144a21_subject#2_sample#0_liverextract-34	LC-negative mass spectrometry	2017-06-07 14:15:07.667689	louis	assay-name-34_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	negative	53	acquired-data-34_platform-LC_run-0.mzml.gz
