Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[injection mode]	Parameter Value[mass spectrometry instrument]	Parameter Value[scan polarity]	Parameter Value[randomized run order]	Raw Spectral Data File
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958592	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#0_sample#0_liverextract-15	FIA-negative mass spectrometry	2017-07-05 14:57:38.958717	louis	assay-name-15_platform-FIA_run-1	FIA	Agilent QTOF	negative	21	acquired-data-15_platform-FIA_run-1.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958762	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liverextract-16	FIA-negative mass spectrometry	2017-07-05 14:57:38.958775	louis	assay-name-16_platform-FIA_run-0	FIA	Agilent QTOF	negative	66	acquired-data-16_platform-FIA_run-0.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958762	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#1_sample#0_liverextract-16	FIA-negative mass spectrometry	2017-07-05 14:57:38.958818	louis	assay-name-16_platform-FIA_run-1	FIA	Agilent QTOF	negative	62	acquired-data-16_platform-FIA_run-1.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958856	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liverextract-17	FIA-negative mass spectrometry	2017-07-05 14:57:38.958912	louis	assay-name-17_platform-FIA_run-1	FIA	Agilent QTOF	negative	48	acquired-data-17_platform-FIA_run-1.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958856	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#2_sample#0_liverextract-17	FIA-negative mass spectrometry	2017-07-05 14:57:38.958869	louis	assay-name-17_platform-FIA_run-0	FIA	Agilent QTOF	negative	17	acquired-data-17_platform-FIA_run-0.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958954	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liverextract-18	FIA-negative mass spectrometry	2017-07-05 14:57:38.958966	louis	assay-name-18_platform-FIA_run-0	FIA	Agilent QTOF	negative	1	acquired-data-18_platform-FIA_run-0.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.958954	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#3_sample#0_liverextract-18	FIA-negative mass spectrometry	2017-07-05 14:57:38.959006	louis	assay-name-18_platform-FIA_run-1	FIA	Agilent QTOF	negative	3	acquired-data-18_platform-FIA_run-1.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959082	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liverextract-19	FIA-negative mass spectrometry	2017-07-05 14:57:38.959137	louis	assay-name-19_platform-FIA_run-1	FIA	Agilent QTOF	negative	54	acquired-data-19_platform-FIA_run-1.mzml.gz
studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.959082	rick	studygroup_0c942119-c507-41d6-a184-347566dc5a88_subject#4_sample#0_liverextract-19	FIA-negative mass spectrometry	2017-07-05 14:57:38.959096	louis	assay-name-19_platform-FIA_run-0	FIA	Agilent QTOF	negative	9	acquired-data-19_platform-FIA_run-0.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956713	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liverextract-5	FIA-negative mass spectrometry	2017-07-05 14:57:38.956738	louis	assay-name-5_platform-FIA_run-0	FIA	Agilent QTOF	negative	38	acquired-data-5_platform-FIA_run-0.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956713	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#0_sample#0_liverextract-5	FIA-negative mass spectrometry	2017-07-05 14:57:38.956827	louis	assay-name-5_platform-FIA_run-1	FIA	Agilent QTOF	negative	78	acquired-data-5_platform-FIA_run-1.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956905	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liverextract-6	FIA-negative mass spectrometry	2017-07-05 14:57:38.956980	louis	assay-name-6_platform-FIA_run-1	FIA	Agilent QTOF	negative	33	acquired-data-6_platform-FIA_run-1.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956905	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#1_sample#0_liverextract-6	FIA-negative mass spectrometry	2017-07-05 14:57:38.956931	louis	assay-name-6_platform-FIA_run-0	FIA	Agilent QTOF	negative	23	acquired-data-6_platform-FIA_run-0.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957027	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liverextract-7	FIA-negative mass spectrometry	2017-07-05 14:57:38.957177	louis	assay-name-7_platform-FIA_run-1	FIA	Agilent QTOF	negative	56	acquired-data-7_platform-FIA_run-1.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957027	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#2_sample#0_liverextract-7	FIA-negative mass spectrometry	2017-07-05 14:57:38.957104	louis	assay-name-7_platform-FIA_run-0	FIA	Agilent QTOF	negative	71	acquired-data-7_platform-FIA_run-0.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957253	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#3_sample#0_liverextract-8	FIA-negative mass spectrometry	2017-07-05 14:57:38.957347	louis	assay-name-8_platform-FIA_run-1	FIA	Agilent QTOF	negative	13	acquired-data-8_platform-FIA_run-1.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957253	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#3_sample#0_liverextract-8	FIA-negative mass spectrometry	2017-07-05 14:57:38.957276	louis	assay-name-8_platform-FIA_run-0	FIA	Agilent QTOF	negative	75	acquired-data-8_platform-FIA_run-0.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957432	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#4_sample#0_liverextract-9	FIA-negative mass spectrometry	2017-07-05 14:57:38.957539	louis	assay-name-9_platform-FIA_run-1	FIA	Agilent QTOF	negative	32	acquired-data-9_platform-FIA_run-1.mzml.gz
studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957432	rick	studygroup_17854f43-56d6-446b-8082-35c622254d86_subject#4_sample#0_liverextract-9	FIA-negative mass spectrometry	2017-07-05 14:57:38.957456	louis	assay-name-9_platform-FIA_run-0	FIA	Agilent QTOF	negative	20	acquired-data-9_platform-FIA_run-0.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.961030	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#0_sample#0_liverextract-35	FIA-negative mass spectrometry	2017-07-05 14:57:38.961052	louis	assay-name-35_platform-FIA_run-0	FIA	Agilent QTOF	negative	2	acquired-data-35_platform-FIA_run-0.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.961030	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#0_sample#0_liverextract-35	FIA-negative mass spectrometry	2017-07-05 14:57:38.961130	louis	assay-name-35_platform-FIA_run-1	FIA	Agilent QTOF	negative	79	acquired-data-35_platform-FIA_run-1.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.961339	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#1_sample#0_liverextract-36	FIA-negative mass spectrometry	2017-07-05 14:57:38.961400	louis	assay-name-36_platform-FIA_run-0	FIA	Agilent QTOF	negative	29	acquired-data-36_platform-FIA_run-0.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.961339	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#1_sample#0_liverextract-36	FIA-negative mass spectrometry	2017-07-05 14:57:38.961537	louis	assay-name-36_platform-FIA_run-1	FIA	Agilent QTOF	negative	64	acquired-data-36_platform-FIA_run-1.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.961692	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#2_sample#0_liverextract-37	FIA-negative mass spectrometry	2017-07-05 14:57:38.961878	louis	assay-name-37_platform-FIA_run-1	FIA	Agilent QTOF	negative	7	acquired-data-37_platform-FIA_run-1.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.961692	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#2_sample#0_liverextract-37	FIA-negative mass spectrometry	2017-07-05 14:57:38.961763	louis	assay-name-37_platform-FIA_run-0	FIA	Agilent QTOF	negative	8	acquired-data-37_platform-FIA_run-0.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.962401	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#3_sample#0_liverextract-38	FIA-negative mass spectrometry	2017-07-05 14:57:38.962749	louis	assay-name-38_platform-FIA_run-1	FIA	Agilent QTOF	negative	5	acquired-data-38_platform-FIA_run-1.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.962401	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#3_sample#0_liverextract-38	FIA-negative mass spectrometry	2017-07-05 14:57:38.962623	louis	assay-name-38_platform-FIA_run-0	FIA	Agilent QTOF	negative	77	acquired-data-38_platform-FIA_run-0.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.962838	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#4_sample#0_liverextract-39	FIA-negative mass spectrometry	2017-07-05 14:57:38.962948	louis	assay-name-39_platform-FIA_run-1	FIA	Agilent QTOF	negative	11	acquired-data-39_platform-FIA_run-1.mzml.gz
studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.962838	rick	studygroup_735d7ef5-7e01-458a-9174-b5a1a6750548_subject#4_sample#0_liverextract-39	FIA-negative mass spectrometry	2017-07-05 14:57:38.962866	louis	assay-name-39_platform-FIA_run-0	FIA	Agilent QTOF	negative	24	acquired-data-39_platform-FIA_run-0.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.955547	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#0_sample#0_liverextract-0	FIA-negative mass spectrometry	2017-07-05 14:57:38.955590	louis	assay-name-0_platform-FIA_run-0	FIA	Agilent QTOF	negative	47	acquired-data-0_platform-FIA_run-0.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.955547	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#0_sample#0_liverextract-0	FIA-negative mass spectrometry	2017-07-05 14:57:38.955697	louis	assay-name-0_platform-FIA_run-1	FIA	Agilent QTOF	negative	43	acquired-data-0_platform-FIA_run-1.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.955790	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#1_sample#0_liverextract-1	FIA-negative mass spectrometry	2017-07-05 14:57:38.955818	louis	assay-name-1_platform-FIA_run-0	FIA	Agilent QTOF	negative	44	acquired-data-1_platform-FIA_run-0.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.955790	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#1_sample#0_liverextract-1	FIA-negative mass spectrometry	2017-07-05 14:57:38.955974	louis	assay-name-1_platform-FIA_run-1	FIA	Agilent QTOF	negative	34	acquired-data-1_platform-FIA_run-1.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956069	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#2_sample#0_liverextract-2	FIA-negative mass spectrometry	2017-07-05 14:57:38.956099	louis	assay-name-2_platform-FIA_run-0	FIA	Agilent QTOF	negative	40	acquired-data-2_platform-FIA_run-0.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956069	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#2_sample#0_liverextract-2	FIA-negative mass spectrometry	2017-07-05 14:57:38.956187	louis	assay-name-2_platform-FIA_run-1	FIA	Agilent QTOF	negative	73	acquired-data-2_platform-FIA_run-1.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956281	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#3_sample#0_liverextract-3	FIA-negative mass spectrometry	2017-07-05 14:57:38.956311	louis	assay-name-3_platform-FIA_run-0	FIA	Agilent QTOF	negative	30	acquired-data-3_platform-FIA_run-0.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956281	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#3_sample#0_liverextract-3	FIA-negative mass spectrometry	2017-07-05 14:57:38.956422	louis	assay-name-3_platform-FIA_run-1	FIA	Agilent QTOF	negative	58	acquired-data-3_platform-FIA_run-1.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956506	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#4_sample#0_liverextract-4	FIA-negative mass spectrometry	2017-07-05 14:57:38.956531	louis	assay-name-4_platform-FIA_run-0	FIA	Agilent QTOF	negative	68	acquired-data-4_platform-FIA_run-0.mzml.gz
studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.956506	rick	studygroup_742de182-6f3d-40df-b0eb-175fe7881624_subject#4_sample#0_liverextract-4	FIA-negative mass spectrometry	2017-07-05 14:57:38.956623	louis	assay-name-4_platform-FIA_run-1	FIA	Agilent QTOF	negative	35	acquired-data-4_platform-FIA_run-1.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960178	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#0_sample#0_liverextract-30	FIA-negative mass spectrometry	2017-07-05 14:57:38.960270	louis	assay-name-30_platform-FIA_run-1	FIA	Agilent QTOF	negative	70	acquired-data-30_platform-FIA_run-1.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960178	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#0_sample#0_liverextract-30	FIA-negative mass spectrometry	2017-07-05 14:57:38.960189	louis	assay-name-30_platform-FIA_run-0	FIA	Agilent QTOF	negative	46	acquired-data-30_platform-FIA_run-0.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960314	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#1_sample#0_liverextract-31	FIA-negative mass spectrometry	2017-07-05 14:57:38.960326	louis	assay-name-31_platform-FIA_run-0	FIA	Agilent QTOF	negative	76	acquired-data-31_platform-FIA_run-0.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960314	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#1_sample#0_liverextract-31	FIA-negative mass spectrometry	2017-07-05 14:57:38.960370	louis	assay-name-31_platform-FIA_run-1	FIA	Agilent QTOF	negative	60	acquired-data-31_platform-FIA_run-1.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960412	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#2_sample#0_liverextract-32	FIA-negative mass spectrometry	2017-07-05 14:57:38.960424	louis	assay-name-32_platform-FIA_run-0	FIA	Agilent QTOF	negative	22	acquired-data-32_platform-FIA_run-0.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960412	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#2_sample#0_liverextract-32	FIA-negative mass spectrometry	2017-07-05 14:57:38.960466	louis	assay-name-32_platform-FIA_run-1	FIA	Agilent QTOF	negative	37	acquired-data-32_platform-FIA_run-1.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960650	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#3_sample#0_liverextract-33	FIA-negative mass spectrometry	2017-07-05 14:57:38.960690	louis	assay-name-33_platform-FIA_run-0	FIA	Agilent QTOF	negative	49	acquired-data-33_platform-FIA_run-0.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#3_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960650	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#3_sample#0_liverextract-33	FIA-negative mass spectrometry	2017-07-05 14:57:38.960771	louis	assay-name-33_platform-FIA_run-1	FIA	Agilent QTOF	negative	25	acquired-data-33_platform-FIA_run-1.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960854	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#4_sample#0_liverextract-34	FIA-negative mass spectrometry	2017-07-05 14:57:38.960954	louis	assay-name-34_platform-FIA_run-1	FIA	Agilent QTOF	negative	61	acquired-data-34_platform-FIA_run-1.mzml.gz
studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#4_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.960854	rick	studygroup_8acae2b6-152e-47bd-b459-4703ac034fe1_subject#4_sample#0_liverextract-34	FIA-negative mass spectrometry	2017-07-05 14:57:38.960878	louis	assay-name-34_platform-FIA_run-0	FIA	Agilent QTOF	negative	65	acquired-data-34_platform-FIA_run-0.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957618	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#0_sample#0_liverextract-10	FIA-negative mass spectrometry	2017-07-05 14:57:38.957725	louis	assay-name-10_platform-FIA_run-1	FIA	Agilent QTOF	negative	80	acquired-data-10_platform-FIA_run-1.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#0_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957618	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#0_sample#0_liverextract-10	FIA-negative mass spectrometry	2017-07-05 14:57:38.957641	louis	assay-name-10_platform-FIA_run-0	FIA	Agilent QTOF	negative	63	acquired-data-10_platform-FIA_run-0.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957800	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#1_sample#0_liverextract-11	FIA-negative mass spectrometry	2017-07-05 14:57:38.957825	louis	assay-name-11_platform-FIA_run-0	FIA	Agilent QTOF	negative	67	acquired-data-11_platform-FIA_run-0.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#1_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957800	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#1_sample#0_liverextract-11	FIA-negative mass spectrometry	2017-07-05 14:57:38.957904	louis	assay-name-11_platform-FIA_run-1	FIA	Agilent QTOF	negative	69	acquired-data-11_platform-FIA_run-1.mzml.gz
studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#2_sample#0_liver	metabolite extraction	2017-07-05 14:57:38.957985	rick	studygroup_926b6e62-7974-4f65-afa0-830e18607cb0_subject#2_sample#0_liverextract-12	FIA-negative mass spectrometry	2017-07-05 14:57:38.958007	louis	assay-name-12_platform-FIA_run-0	FIA	Agilent QTOF	negative	57	acquired-data-12_platform-FIA_run-0.mzml.gz
