"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan m/z range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file content]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument manufacturer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument software]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of scans]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Time range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Data Transformation software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection Order]"	"Term Source REF"	"Term Accession Number"
"CM__AZ14"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ14"	"cardiomyocytes/RP_C18_positive/AZ14.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ14.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"11"	""	""
"CM__AZ4"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ4"	"cardiomyocytes/RP_C18_positive/AZ4.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ4.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"12"	""	""
"CM__AZ11"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ11"	"cardiomyocytes/RP_C18_positive/AZ11.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ11.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"13"	""	""
"CM__QC_cell_8"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_cell_8"	"cardiomyocytes/RP_C18_positive/QC_cell_8.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_cell_8.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"14"	""	""
"CM__AZ18"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ18"	"cardiomyocytes/RP_C18_positive/AZ18.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ18.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"15"	""	""
"CM__AZ13"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ13"	"cardiomyocytes/RP_C18_positive/AZ13.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ13.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"16"	""	""
"CM__AZ3"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ3"	"cardiomyocytes/RP_C18_positive/AZ3.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ3.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"17"	""	""
"CM__AZ1"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ1"	"cardiomyocytes/RP_C18_positive/AZ1.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ1.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"18"	""	""
"CM__AZ6"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ6"	"cardiomyocytes/RP_C18_positive/AZ6.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ6.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"19"	""	""
"CM__QC_cell_9"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_cell_9"	"cardiomyocytes/RP_C18_positive/QC_cell_9.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_cell_9.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"20"	""	""
"CM__AZ5"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ5"	"cardiomyocytes/RP_C18_positive/AZ5.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ5.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"21"	""	""
"CM__AZ12"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ12"	"cardiomyocytes/RP_C18_positive/AZ12.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ12.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"22"	""	""
"CM__AZ9"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ9"	"cardiomyocytes/RP_C18_positive/AZ9.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ9.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"23"	""	""
"CM__AZ8"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ8"	"cardiomyocytes/RP_C18_positive/AZ8.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ8.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"24"	""	""
"CM__AZ16"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"AZ16"	"cardiomyocytes/RP_C18_positive/AZ16.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/AZ16.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"25"	""	""
"CM__QC_cell_10"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_cell_10"	"cardiomyocytes/RP_C18_positive/QC_cell_10.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_cell_10.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"26"	""	""
