Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Gender]	Term Source REF	Term Accession Number	Factor Value[Group]	Term Source REF	Term Accession Number	Factor Value[Animal ID]	Term Source REF	Term Accession Number	Factor Value[Biological Replicate]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time (Hrs)]	Unit	Term Source REF	Term Accession Number	Factor Value[Time (Days)]	Unit	Term Source REF	Term Accession Number
CM__AZ12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ12										2			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ9										2			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ8										2			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ16										3			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_cell_10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_10																							
CM__AZ2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ2										1			control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ10										2			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__AZ17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ17										3			sunitinib 	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032				
CM__QC_cell_11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_11																							
CM__QC_cell_12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_12																							
CM__QC_cell_13_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_13_MSMS																							
CM__QC_cell_14_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_14_MSMS																							
CM__QC_cell_15_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	pluripotent stem cell-derived cardiomyocyte			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CM__QC_cell_15_MSMS																							
CM__blank_cell_end	blank			blank			blank			Sample collection	CM__blank_cell_end																							
CT__QC1	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC1																							
CT__QC2	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC2																							
CT__QC3	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC3																							
CT__QC4	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC4																							
CT__extract_blank_start	blank			blank			blank			Sample collection	CT__extract_blank_start																							
CT__QC5	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC5																							
CT__QC_6_MSMS	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC_6_MSMS																							
CT__QC_7_MSMS	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC_7_MSMS																							
CT__QC_8_MSMS	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC_8_MSMS																							
CT__QC9	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC9																							
CT__QC10	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC10																							
CT__28	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__28	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			28						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__63	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__63	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	7			63						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__68	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__68	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			68						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__33	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__33	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	4			33						KU60648							4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__QC11	"WIST, Rat Strain"			heart			pool	NCIT	http://purl.obolibrary.org/obo/NCIT_C68779	Sample collection	CT__QC11																							
CT__70	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__70	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	8			70						sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__26	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__26	male	PATO	http://purl.obolibrary.org/obo/PATO_0000384	3			26						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
CT__65	"WIST, Rat Strain"			heart			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__65	female	PATO	http://purl.obolibrary.org/obo/PATO_0000383	7			65						control condition	XCO	http://purl.obolibrary.org/obo/XCO_0000099					15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
