metabolite_identification	database_identifier	chemical_formula	smiles	inchi	mass_to_charge	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	KIT2-0-5404_809697_19_0_1_1_00_755146[arearatio]	KIT2-0-5404_809697_19_0_1_1_00_755146[internalstdretentiontime]	KIT2-0-5404_809697_19_0_1_1_00_755146[relretentiontime]	KIT2-0-5404_809697_19_0_1_1_00_755146[analytes2n]	KIT2-0-5404_809697_19_0_1_1_00_755146[analyteretentiontime]	KIT2-0-5404_809697_19_0_1_1_00_755146[analytepeakarea]	KIT2-0-5404_809697_19_0_1_1_00_755146[accuracy]	KIT2-0-5404_809697_19_0_1_1_00_755146[intensityistd]	KIT2-0-5404_809697_19_0_1_1_00_755146[intensity]	KIT2-0-5404_809697_19_0_1_1_00_755146[concentration]	KIT2-0-5404_809697_19_0_1_1_00_755146[status]	KIT2-0-5404_809697_55_0_1_1_00_746801[arearatio]	KIT2-0-5404_809697_55_0_1_1_00_746801[internalstdretentiontime]	KIT2-0-5404_809697_55_0_1_1_00_746801[relretentiontime]	KIT2-0-5404_809697_55_0_1_1_00_746801[analytes2n]	KIT2-0-5404_809697_55_0_1_1_00_746801[analyteretentiontime]	KIT2-0-5404_809697_55_0_1_1_00_746801[analytepeakarea]	KIT2-0-5404_809697_55_0_1_1_00_746801[accuracy]	KIT2-0-5404_809697_55_0_1_1_00_746801[intensityistd]	KIT2-0-5404_809697_55_0_1_1_00_746801[intensity]	KIT2-0-5404_809697_55_0_1_1_00_746801[concentration]	KIT2-0-5404_809697_55_0_1_1_00_746801[status]	KIT2-0-5404_809697_07_0_1_1_00_755132[arearatio]	KIT2-0-5404_809697_07_0_1_1_00_755132[internalstdretentiontime]	KIT2-0-5404_809697_07_0_1_1_00_755132[relretentiontime]	KIT2-0-5404_809697_07_0_1_1_00_755132[analytes2n]	KIT2-0-5404_809697_07_0_1_1_00_755132[analyteretentiontime]	KIT2-0-5404_809697_07_0_1_1_00_755132[analytepeakarea]	KIT2-0-5404_809697_07_0_1_1_00_755132[accuracy]	KIT2-0-5404_809697_07_0_1_1_00_755132[intensityistd]	KIT2-0-5404_809697_07_0_1_1_00_755132[intensity]	KIT2-0-5404_809697_07_0_1_1_00_755132[concentration]	KIT2-0-5404_809697_07_0_1_1_00_755132[status]	KIT2-0-5404_809697_67_0_1_1_00_746814[arearatio]	KIT2-0-5404_809697_67_0_1_1_00_746814[internalstdretentiontime]	KIT2-0-5404_809697_67_0_1_1_00_746814[relretentiontime]	KIT2-0-5404_809697_67_0_1_1_00_746814[analytes2n]	KIT2-0-5404_809697_67_0_1_1_00_746814[analyteretentiontime]	KIT2-0-5404_809697_67_0_1_1_00_746814[analytepeakarea]	KIT2-0-5404_809697_67_0_1_1_00_746814[accuracy]	KIT2-0-5404_809697_67_0_1_1_00_746814[intensityistd]	KIT2-0-5404_809697_67_0_1_1_00_746814[intensity]	KIT2-0-5404_809697_67_0_1_1_00_746814[concentration]	KIT2-0-5404_809697_67_0_1_1_00_746814[status]	KIT2-0-5404_809697_43_0_1_1_00_746792[arearatio]	KIT2-0-5404_809697_43_0_1_1_00_746792[internalstdretentiontime]	KIT2-0-5404_809697_43_0_1_1_00_746792[relretentiontime]	KIT2-0-5404_809697_43_0_1_1_00_746792[analytes2n]	KIT2-0-5404_809697_43_0_1_1_00_746792[analyteretentiontime]	KIT2-0-5404_809697_43_0_1_1_00_746792[analytepeakarea]	KIT2-0-5404_809697_43_0_1_1_00_746792[accuracy]	KIT2-0-5404_809697_43_0_1_1_00_746792[intensityistd]	KIT2-0-5404_809697_43_0_1_1_00_746792[intensity]	KIT2-0-5404_809697_43_0_1_1_00_746792[concentration]	KIT2-0-5404_809697_43_0_1_1_00_746792[status]	KIT2-0-5404_809697_31_0_1_1_00_746789[arearatio]	KIT2-0-5404_809697_31_0_1_1_00_746789[internalstdretentiontime]	KIT2-0-5404_809697_31_0_1_1_00_746789[relretentiontime]	KIT2-0-5404_809697_31_0_1_1_00_746789[analytes2n]	KIT2-0-5404_809697_31_0_1_1_00_746789[analyteretentiontime]	KIT2-0-5404_809697_31_0_1_1_00_746789[analytepeakarea]	KIT2-0-5404_809697_31_0_1_1_00_746789[accuracy]	KIT2-0-5404_809697_31_0_1_1_00_746789[intensityistd]	KIT2-0-5404_809697_31_0_1_1_00_746789[intensity]	KIT2-0-5404_809697_31_0_1_1_00_746789[concentration]	KIT2-0-5404_809697_31_0_1_1_00_746789[status]
Leu_KIT2-0-5404																	0.13	5.92	1.0		5.91	930000.0		2670000.0	378000.0	398.0	VALID	0.13	5.91	1.0		5.9	960000.0		2730000.0	384000.0	390.0	VALID	0.1	5.91	1.0		5.89	698000.0		2640000.0	281000.0	292.0	VALID	0.08	5.9	1.0		5.89	703000.0		3080000.0	283000.0	247.0	VALID	0.11	5.91	1.0		5.89	825000.0		2670000.0	338000.0	340.0	VALID	0.14	5.91	1.0		5.9	961000.0		2450000.0	382000.0	438.0	GREATER_THAN_ULOQ
Lys_KIT2-0-5404																	4.37	5.7	1.02		5.81	18000000.0		1670000.0	5600000.0	415.0	VALID	3.36	5.69	1.02		5.8	17300000.0		1950000.0	5620000.0	301.0	VALID	3.74	5.68	1.02		5.79	15400000.0		1540000.0	5200000.0	343.0	VALID	3.24	5.68	1.02		5.79	17400000.0		2020000.0	5600000.0	288.0	VALID	3.67	5.68	1.02		5.79	18100000.0		1940000.0	5720000.0	335.0	VALID	4.21	5.69	1.02		5.8	17800000.0		1560000.0	5540000.0	396.0	VALID
Met_KIT2-0-5404																	2.02	5.58	1.0		5.59	2560000.0		572000.0	1050000.0	102.0	VALID	1.91	5.58	1.0		5.58	2660000.0		660000.0	1030000.0	96.1	VALID	1.72	5.57	1.0		5.58	2090000.0		536000.0	849000.0	86.3	VALID	1.47	5.56	1.0		5.57	2360000.0		772000.0	950000.0	73.8	VALID	1.87	5.57	1.0		5.58	2410000.0		559000.0	924000.0	93.9	VALID	2.14	5.58	1.0		5.58	2690000.0		530000.0	999000.0	107.0	VALID
Orn_KIT2-0-5404																	1.72	5.7	1.0		5.7	7060000.0		1670000.0	2790000.0	107.0	VALID	1.56	5.69	1.0		5.7	8040000.0		1950000.0	3160000.0	96.1	VALID	1.6	5.68	1.0		5.69	6600000.0		1540000.0	2500000.0	98.8	VALID	1.12	5.68	1.0		5.68	6020000.0		2020000.0	2330000.0	66.1	VALID	1.34	5.68	1.0		5.69	6610000.0		1940000.0	2780000.0	81.0	VALID	3.2	5.69	1.0		5.69	13600000.0		1560000.0	4870000.0	219.0	VALID
Phe_KIT2-0-5404																	1.53	5.94	1.0		5.95	8400000.0		2120000.0	3250000.0	87.7	VALID	1.6	5.93	1.0		5.94	8970000.0		2160000.0	3420000.0	92.1	VALID	1.34	5.92	1.0		5.93	7530000.0		2220000.0	2830000.0	75.6	VALID	1.34	5.92	1.0		5.93	8430000.0		2330000.0	3200000.0	75.4	VALID	1.36	5.92	1.0		5.93	7710000.0		2170000.0	2940000.0	77.1	VALID	1.98	5.93	1.0		5.94	10700000.0		2100000.0	4010000.0	118.0	VALID
Pro_KIT2-0-5404																	1.92	5.06	1.0		5.08	7890000.0		1700000.0	2810000.0	163.0	VALID	2.11	5.07	1.0		5.09	8480000.0		1730000.0	3050000.0	181.0	VALID	2.0	5.06	1.0		5.07	7880000.0		1580000.0	2890000.0	170.0	VALID	1.39	5.05	1.0		5.06	6590000.0		1810000.0	2410000.0	113.0	VALID	2.04	5.05	1.0		5.07	7930000.0		1500000.0	3050000.0	174.0	VALID	1.98	5.06	1.0		5.08	7820000.0		1480000.0	2830000.0	168.0	VALID
Ser_KIT2-0-5404																	2.68	4.67	1.0		4.68	1800000.0		257000.0	714000.0	241.0	VALID	2.6	4.68	1.0		4.69	2030000.0		342000.0	802000.0	235.0	VALID	2.31	4.66	1.0		4.67	1610000.0		274000.0	642000.0	213.0	VALID	1.83	4.65	1.0		4.66	1420000.0		278000.0	582000.0	175.0	VALID	2.41	4.66	1.0		4.67	1950000.0		328000.0	692000.0	221.0	VALID	2.46	4.67	1.0		4.68	1560000.0		227000.0	585000.0	224.0	VALID
Thr_KIT2-0-5404																	3.43	4.91	1.0		4.91	3810000.0		427000.0	1530000.0	224.0	VALID	3.41	4.92	1.0		4.91	3870000.0		479000.0	1510000.0	221.0	VALID	3.15	4.89	1.0		4.9	3530000.0		469000.0	1380000.0	201.0	VALID	3.08	4.89	1.0		4.89	3490000.0		453000.0	1370000.0	196.0	VALID	3.94	4.9	1.0		4.9	3970000.0		385000.0	1640000.0	266.0	VALID	3.77	4.9	1.0		4.9	3860000.0		427000.0	1500000.0	251.0	VALID
Trp_KIT2-0-5404																	2.68	5.83	1.0		5.83	6010000.0		829000.0	2070000.0	112.0	VALID	2.83	5.82	1.0		5.82	6400000.0		848000.0	2290000.0	119.0	VALID	2.16	5.81	1.0		5.82	4760000.0		829000.0	1750000.0	88.7	VALID	1.87	5.81	1.0		5.81	5150000.0		1070000.0	2030000.0	75.7	VALID	2.25	5.82	1.0		5.82	5350000.0		838000.0	1980000.0	92.6	VALID	3.46	5.82	1.0		5.82	7790000.0		857000.0	2810000.0	149.0	VALID
Tyr_KIT2-0-5404																	2.16	5.3	1.0		5.31	4200000.0		864000.0	1740000.0	121.0	VALID	2.57	5.3	1.0		5.31	4990000.0		823000.0	2080000.0	146.0	VALID	1.97	5.29	1.0		5.3	3850000.0		850000.0	1700000.0	110.0	VALID	1.8	5.29	1.0		5.29	4010000.0		964000.0	1670000.0	100.0	VALID	2.03	5.29	1.0		5.3	4050000.0		853000.0	1720000.0	114.0	VALID	2.88	5.29	1.0		5.31	5280000.0		759000.0	2230000.0	164.0	VALID
Val_KIT2-0-5404																	2.7	5.64	1.0		5.66	7260000.0		1070000.0	2510000.0	392.0	VALID	2.51	5.64	1.0		5.66	7060000.0		1060000.0	2550000.0	364.0	VALID	2.35	5.63	1.0		5.65	6350000.0		1040000.0	2330000.0	340.0	VALID	1.71	5.63	1.0		5.65	5720000.0		1260000.0	2070000.0	246.0	VALID	2.66	5.64	1.0		5.65	7120000.0		1080000.0	2600000.0	387.0	VALID	2.81	5.64	1.0		5.65	7500000.0		999000.0	2640000.0	409.0	VALID
Ac-Orn_KIT2-0-5404																	0.05	5.7	0.84		4.76	208000.0		1670000.0	99700.0	3.22	VALID	0.05	5.69	0.84		4.77	233000.0		1950000.0	107000.0	2.9	VALID	0.05	5.68	0.84		4.75	212000.0		1540000.0	90100.0	3.28	VALID	0.04	5.68	0.84		4.74	190000.0		2020000.0	83100.0	2.26	VALID	0.05	5.68	0.84		4.75	257000.0		1940000.0	101000.0	3.32	VALID	0.05	5.69	0.84		4.76	228000.0		1560000.0	89200.0	3.41	VALID
ADMA_KIT2-0-5404																	0.04	4.37	1.0		4.38	16400.0		167000.0	6960.0	0.6559999999999999	VALID	0.05	4.39	1.0		4.39	20500.0		172000.0	8230.0	0.79	VALID	0.06	4.36	1.0		4.37	21000.0		152000.0	8470.0	0.855	VALID	0.04	4.35	1.0		4.36	15700.0		173000.0	6100.0	0.5820000000000001	VALID	0.05	4.36	1.0		4.37	19200.0		162000.0	7970.0	0.745	VALID	0.06	4.37	1.0		4.38	21800.0		126000.0	8860.0	0.961	VALID
SDMA_KIT2-0-5404																	0.0	4.37	1.01		4.41	412.0		167000.0	253.0	0.0949	SMALLER_LOD	0.0	4.39	1.01		4.43	999.0		172000.0	355.0	0.22	SMALLER_LOD	0.0	4.36	1.01		4.39	824.0		152000.0	396.0	0.191	SMALLER_LOD	0.0	4.35	1.01		4.4	636.0		173000.0	294.0	0.13699999999999998	SMALLER_LOD	0.0	4.36	1.01		4.41	528.0		162000.0	208.0	0.11699999999999999	SMALLER_LOD	0.0	4.37	1.01		4.4	752.0		126000.0	321.0	0.188	SMALLER_LOD
total DMA_KIT2-0-5404																	0.22	4.37	1.01		4.4	81300.0		167000.0	24500.0	0.564	SMALLER_LLOQ	0.23	4.39	1.0		4.39	88900.0		172000.0	28800.0	0.595	SMALLER_LLOQ	0.2	4.36	1.0		4.38	72500.0		152000.0	24600.0	0.488	SMALLER_LLOQ	0.18	4.35	1.01		4.38	70600.0		173000.0	18700.0	0.42700000000000005	SMALLER_LLOQ	0.24	4.36	1.0		4.38	90700.0		162000.0	28000.0	0.617	SMALLER_LLOQ	0.23	4.37	1.0		4.38	79200.0		126000.0	23200.0	0.601	SMALLER_LLOQ
alpha-AAA_KIT2-0-5404																	0.01	5.7	0.87		4.93	44800.0		1670000.0	20500.0	5.98	VALID	0.01	5.69	0.87		4.93	36000.0		1950000.0	15500.0	3.67	VALID	0.01	5.68	0.87		4.91	29700.0		1540000.0	13300.0	3.8	VALID	0.01	5.68	0.86		4.91	35100.0		2020000.0	15600.0	3.38	VALID	0.01	5.68	0.87		4.92	44500.0		1940000.0	19800.0	4.88	VALID	0.01	5.69	0.87		4.92	33900.0		1560000.0	14200.0	4.26	VALID
Carnosine_KIT2-0-5404																	0.0	4.12	1.0		4.1	13100.0		1190000.0	5330.0	0.384	SMALLER_LLOQ	0.0	4.11	1.0		4.1	15100.0		1290000.0	6730.0	0.42	SMALLER_LLOQ	0.01	4.11	1.0		4.09	14400.0		1050000.0	6000.0	0.496	SMALLER_LLOQ	0.0	4.08	1.0		4.06	14900.0		1290000.0	6360.0	0.36200000000000004	SMALLER_LLOQ	0.01	4.09	1.0		4.08	18000.0		1140000.0	7460.0	0.62	VALID	0.01	4.11	1.0		4.09	18700.0		1160000.0	8040.0	0.648	VALID
Creatinine_KIT2-0-5404																	0.09	0.85	1.0		0.85	12800.0		63600.0	5590.0	7.66	SMALLER_LLOQ	0.09	0.85	1.0		0.85	12800.0		63200.0	5450.0	7.68	SMALLER_LLOQ	0.09	0.85	1.0		0.85	12800.0		60000.0	5280.0	7.81	SMALLER_LLOQ	0.09	0.85	1.0		0.85	12000.0		57700.0	4970.0	7.85	SMALLER_LLOQ	0.1	0.84	1.0		0.85	12200.0		55500.0	5380.0	8.75	SMALLER_LLOQ	0.11	0.85	1.0		0.85	13700.0		60500.0	6360.0	9.54	SMALLER_LLOQ
DOPA_KIT2-0-5404																	0.0	5.05	0.0		0.0	0.0		89000.0	0.0	0.0	SMALLER_LOD	0.0	5.06	0.0		0.0	0.0		87600.0	0.0	0.0	SMALLER_LOD	0.0	5.04	0.0		0.0	0.0		109000.0	0.0	0.0	SMALLER_LOD	0.0	5.03	0.0		0.0	0.0		112000.0	0.0	0.0	SMALLER_LOD	0.0	5.04	0.0		0.0	0.0		107000.0	0.0	0.0	SMALLER_LOD	0.0	5.05	0.0		0.0	0.0		102000.0	0.0	0.0	SMALLER_LOD
Dopamine_KIT2-0-5404																	0.0	5.36	0.0		0.0	0.0		320000.0	0.0	0.0	SMALLER_LOD	0.0	5.35	0.0		0.0	0.0		328000.0	0.0	0.0	SMALLER_LOD	0.0	5.35	0.0		0.0	0.0		358000.0	0.0	0.0	SMALLER_LOD	0.0	5.34	0.0		0.0	0.0		320000.0	0.0	0.0	SMALLER_LOD	0.0	5.34	0.0		0.0	0.0		288000.0	0.0	0.0	SMALLER_LOD	0.0	5.35	0.0		0.0	0.0		319000.0	0.0	0.0	SMALLER_LOD
Histamine_KIT2-0-5404																	0.03	4.12	1.01	5570.0	4.15	95600.0		1190000.0	37700.0	0.0	SMALLER_LOD	0.0	4.11	0.0		0.0	0.0		1290000.0	0.0	0.0	SMALLER_LOD	0.05	4.11	1.01	7820.0	4.13	145000.0		1050000.0	54700.0	0.0	SMALLER_LOD	0.01	4.08	1.0	1240.0	4.1	37300.0		1290000.0	13800.0	0.0	SMALLER_LOD	0.0	4.09	0.0		0.0	0.0		1140000.0	0.0	0.0	SMALLER_LOD	0.18	4.11	1.01	30900.0	4.14	565000.0		1160000.0	198000.0	0.267	SMALLER_LLOQ
Kynurenine_KIT2-0-5404																	0.01	5.3	1.09		5.8	21200.0		864000.0	6520.0	0.637	SMALLER_LLOQ	0.01	5.3	1.09		5.79	26300.0		823000.0	8100.0	1.05	VALID	0.01	5.29	1.09		5.79	17600.0		850000.0	5720.0	0.335	SMALLER_LLOQ	0.01	5.29	1.09		5.78	17600.0		964000.0	5510.0	0.162	SMALLER_LOD	0.01	5.29	1.09		5.79	18100.0		853000.0	5060.0	0.34600000000000003	SMALLER_LLOQ	0.01	5.29	1.09		5.79	19000.0		759000.0	6080.0	0.552	SMALLER_LLOQ
Met-SO_KIT2-0-5404																	0.07	5.58	0.83		4.61	84400.0		572000.0	36200.0	3.45	SMALLER_LLOQ	0.06	5.58	0.83		4.63	87900.0		660000.0	34000.0	3.25	SMALLER_LLOQ	0.05	5.57	0.83		4.61	60200.0		536000.0	24400.0	2.44	SMALLER_LLOQ	0.04	5.56	0.83		4.59	65200.0		772000.0	29800.0	1.91	SMALLER_LLOQ	0.05	5.57	0.83		4.6	69500.0		559000.0	28600.0	2.7	SMALLER_LLOQ	0.07	5.58	0.83		4.61	87700.0		530000.0	38000.0	3.62	SMALLER_LLOQ
Nitro-Tyr_KIT2-0-5404																	0.0	5.3	0.0		0.0	0.0		864000.0	0.0	0.0	SMALLER_LOD	0.0	5.3	0.0		0.0	0.0		823000.0	0.0	0.0	SMALLER_LOD	0.0	5.29	0.0		0.0	0.0		850000.0	0.0	0.0	SMALLER_LOD	0.0	5.29	0.0		0.0	0.0		964000.0	0.0	0.0	SMALLER_LOD	0.0	5.29	0.0		0.0	0.0		853000.0	0.0	0.0	SMALLER_LOD	0.0	5.29	0.0		0.0	0.0		759000.0	0.0	0.0	SMALLER_LOD
c4-OH-Pro_KIT2-0-5404																	0.0	5.06	0.0		0.0	0.0		1700000.0	0.0	0.0	SMALLER_LOD	0.0	5.07	0.0		0.0	0.0		1730000.0	0.0	0.0	SMALLER_LOD	0.0	5.06	0.0		0.0	0.0		1580000.0	0.0	0.0	SMALLER_LOD	0.0	5.05	0.0		0.0	0.0		1810000.0	0.0	0.0	SMALLER_LOD	0.0	5.05	0.0		0.0	0.0		1500000.0	0.0	0.0	SMALLER_LOD	0.0	5.06	0.0		0.0	0.0		1480000.0	0.0	0.0	SMALLER_LOD
